,client id,file transfer round trip (ms)
,Client: 340.0,0.52324 ms
,Client: 341.0,0.554665 ms
,Client: 342.0,0.502801 ms
,Client: 343.0,0.536782 ms
,Client: 344.0,0.529883 ms
,Client: 345.0,0.482873 ms
,Client: 346.0,0.5516 ms
,Client: 347.0,0.547256 ms
,Client: 348.0,0.476742 ms
,Client: 349.0,0.563352 ms
,Client: 350.0,0.498458 ms
,Client: 351.0,0.572294 ms
,Client: 352.0,0.542147 ms
,Client: 353.0,0.557476 ms
,Client: 354.0,0.536271 ms
,Client: 355.0,0.507145 ms
,Client: 356.0,0.488494 ms
,Client: 357.0,0.503823 ms
,Client: 358.0,0.45758 ms
,Client: 359.0,0.568973 ms
,Client: 360.0,0.495903 ms
,Client: 361.0,0.574594 ms
,Client: 362.0,0.54368 ms
,Client: 363.0,0.519919 ms
,Client: 364.0,0.574338 ms
,Client: 365.0,0.495392 ms
,Client: 366.0,0.575616 ms
,Client: 367.0,0.469333 ms
,Client: 368.0,0.490538 ms
,Client: 369.0,0.539336 ms
,Client: 370.0,0.488239 ms
,Client: 371.0,0.588901 ms
,Client: 372.0,0.489516 ms
,Client: 373.0,0.558753 ms
,Client: 374.0,0.500757 ms
,Client: 375.0,0.584046 ms
,Client: 376.0,0.486706 ms
,Client: 377.0,0.54649 ms
,Client: 378.0,0.549045 ms
,Client: 379.0,0.614961 ms
,Client: 380.0,0.701827 ms
,Client: 381.0,0.61164 ms
,Client: 382.0,0.582514 ms
,Client: 383.0,0.521963 ms
,Client: 384.0,0.635911 ms
,Client: 385.0,0.540614 ms
,Client: 386.0,0.502291 ms
,Client: 387.0,0.556965 ms
,Client: 388.0,0.483385 ms
,Client: 389.0,0.509444 ms
,Client: 390.0,0.510722 ms
,Client: 391.0,0.516853 ms
,Client: 392.0,0.411081 ms
,Client: 393.0,0.518131 ms
,Client: 394.0,0.474698 ms
,Client: 395.0,0.531671 ms
,Client: 396.0,0.610362 ms
,Client: 397.0,0.568973 ms
,Client: 398.0,9.650824 ms
,Client: 399.0,0.516087 ms
,Client: 400.0,0.556454 ms
,Client: 401.0,0.588134 ms
,Client: 402.0,0.521452 ms
,Client: 403.0,0.463457 ms
,Client: 404.0,0.550578 ms
,Client: 405.0,0.494626 ms
,Client: 406.0,0.45988 ms
,Client: 407.0,0.520431 ms
,Client: 408.0,0.432542 ms
,Client: 409.0,0.504845 ms
,Client: 410.0,0.483128 ms
,Client: 411.0,0.506123 ms
,Client: 412.0,0.523241 ms
,Client: 413.0,0.478785 ms
,Client: 414.0,0.511744 ms
,Client: 415.0,0.574593 ms
,Client: 416.0,0.787671 ms
,Client: 417.0,0.681132 ms
,Client: 418.0,0.605764 ms
